calBP,Australia_NewZealand._Melanesia,Eastern_Africa,Eastern_Asia,Eastern_Europe,Europe,Micronesia_and_Polynesia,Middle_and_Southern.Africa,Middle_North_America,Northern_Africa,Northern_North_America_and_Greenland,South_America,Western_Africa,Western_Asia
14670,NA,NA,0.574611253,2.794744461,15.68025894,NA,0.75,1.928049968,0.068531043,0.889267308,0.650673251,NA,1.254892502
14640,NA,NA,0.547497914,2.753252683,15.55649925,NA,0.771045286,1.839474228,0.065815354,0.868998417,0.636157084,NA,1.254096034
14610,NA,NA,0.527793611,2.713250559,15.42435965,NA,0.746800065,1.762791527,0.063627056,0.853247551,0.627708242,NA,1.252458724
14580,NA,NA,0.530134556,2.698250935,15.3626247,NA,0.745256114,1.748124384,0.063453802,0.852530802,0.631608201,NA,1.251363892
14550,NA,NA,0.552362438,2.695913601,15.31755826,NA,0.762415851,1.777432775,0.064898168,0.86476367,0.649074456,NA,1.249241854
14520,NA,NA,0.582364031,2.70009636,15.27761466,NA,0.787842938,1.824555586,0.066988892,0.882700831,0.673714768,NA,1.246103892
14490,NA,NA,0.610919027,2.711060752,15.25882962,NA,0.813664119,1.877463233,0.069148305,0.901157678,0.698272038,NA,1.242812554
14460,NA,NA,0.634661696,2.725619171,15.25681755,NA,0.83612403,1.927655756,0.071076088,0.917663747,0.720004265,NA,1.239733872
14430,NA,NA,0.652783859,2.743773546,15.27846439,NA,0.854988095,1.975004546,0.072738546,0.931755616,0.736712005,NA,1.237482693
14400,NA,NA,0.671956673,2.783682476,15.40796721,NA,0.878077955,2.050607892,0.07489339,0.947160504,0.745513272,NA,1.239017071
14370,NA,NA,0.703208147,2.863117274,15.71970398,NA,0.907046978,2.182203863,0.07826154,0.965358661,0.751974988,NA,1.247994465
14340,NA,NA,0.73740081,2.953035935,16.10117282,NA,0.941655329,2.333136467,0.081979384,0.985124072,0.752583187,NA,1.259861079
14310,NA,NA,0.772289815,3.044519011,16.51524748,NA,0.979796422,2.489444876,0.085733065,1.004970326,0.747998076,NA,1.273446259
14280,NA,NA,0.817790212,3.155935836,17.02255168,NA,1.016884416,2.67850486,0.090134306,1.025461376,0.747133058,NA,1.291802265
14250,NA,NA,0.885203619,3.314459485,17.69991508,NA,1.048737208,2.931939693,0.095974552,1.047504239,0.761618592,NA,1.318173094
14220,NA,NA,0.976418536,3.533899101,18.54421937,NA,1.068480915,3.235148884,0.103404854,1.067351075,0.804501785,NA,1.352492858
14190,NA,NA,1.069735582,3.777139096,19.37639348,NA,1.07219084,3.514512916,0.11107795,1.0790361,0.87350019,NA,1.38677648
14160,NA,NA,1.143674071,4.089015481,20.21318683,NA,1.065594016,3.783202249,0.120923701,1.077604606,0.992723513,NA,1.419779284
14130,NA,NA,1.15173849,4.493017731,20.9457096,NA,1.049864897,4.027945485,0.138086764,1.061549477,1.134899327,NA,1.452295763
14100,NA,NA,1.104590816,4.895201041,21.31742658,NA,1.017692612,4.145819705,0.165587309,1.043459057,1.192110336,NA,1.483676453
14070,NA,NA,1.037216753,5.248004608,21.41422356,NA,0.976529759,4.272295411,0.202510184,1.031747892,1.179629945,NA,1.516890396
14040,NA,NA,0.944447634,5.532104511,21.29628886,NA,0.939168971,4.393538148,0.243059516,1.024487968,1.129297196,NA,1.546737238
14010,NA,NA,0.83047783,5.759928879,21.00275558,NA,0.91231306,4.422965993,0.278352693,1.014524818,1.057461663,NA,1.565052467
13980,NA,NA,0.70492876,5.939739295,20.63061662,NA,0.893671846,4.334034787,0.304967181,1.001021216,0.983156867,NA,1.572304008
13950,NA,NA,0.601147489,5.995560946,20.10354992,NA,0.873111376,4.203773708,0.327851953,0.99833485,0.845115857,NA,1.576556006
13920,NA,NA,0.57036666,5.967782445,19.70431775,NA,0.852140329,4.223857754,0.347938878,1.010039259,0.704431708,NA,1.587239418
13890,NA,NA,0.569642858,5.943739838,19.58221726,NA,0.843564547,4.324125305,0.358568587,1.019547038,0.651253309,NA,1.596179712
